"id";"Libellé";"Catégorie";"Marque";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Code-barres";"Type de déclinaison";"Prix soldé";"Emplacement";"Référence externe";"Compte comptable";"points +";"points -";"Affichable";"En ligne";"Image";"Stock";"Catégorie";"Poids";"Libellé court"
"123";"CREME CUISINE LAIT COCO TETRA (200ML)ECOMIL";"Epicerie sec";"N/A";"1.30000";"Relais Vert";"";"1.78000";"0.05500";"8428532230092";"";"1.51000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"200.00";"CREME CUISINE LAIT COCO"
"125";"EAU MINERALE NATURELLE (1,5L) EAU MONTCALM";"Epicerie sec";"N/A";"0.74000";"Relais Vert";"";"1.01000";"0.05500";"3435230150213";"";"0.86000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"1500.00";"EAU MINERALE NATURELLE"
"126";"ECO RECHARGE CURRY MADRAS (35G) COOK ARCADIE";"Epicerie sec";"N/A";"2.05000";"Relais Vert";"";"2.81000";"0.05500";"3417960045489";"";"2.38000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"35.00";"CURRY MADRAS"
"127";"ECO RECHARGE GARAM MASALA (35G) COOK ARCADIE";"Epicerie sec";"N/A";"2.31000";"Relais Vert";"";"3.17000";"0.05500";"3417960043355";"";"2.68000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"35.00";"GARAM MASALA"
"128";"ECO RECHARGE HERBES DE PROVENCE (20G) COOK ARCADIE";"Epicerie sec";"N/A";"1.92000";"Relais Vert";"";"2.63000";"0.05500";"3417960042051";"";"2.23000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"20.00";"HERBES DE PROVENCE"
"129";"ECO RECHARGE MUSCADE POUDRE (35G) COOK ARCADIE";"Epicerie sec";"N/A";"2.97000";"Relais Vert";"";"4.07000";"0.05500";"3417960042013";"";"3.45000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"35.00";"MUSCADE POUDRE"
"130";"ECO RECHARGE ORIGAN FEUILLES (13G) COOK ARCADIE";"Epicerie sec";"N/A";"1.32000";"Relais Vert";"";"1.81000";"0.05500";"3417960041986";"";"1.53000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"13.00";"ORIGAN FEUILLES"
"131";"ECO RECHARGE POIVRE NOIR GRAINS (50G) COOK ARCADIE";"Epicerie sec";"N/A";"2.43000";"Relais Vert";"";"3.33000";"0.05500";"3417960042044";"";"2.82000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"50.00";"POIVRE NOIR GRAINS"
"132";"ECO RECHARGE THYM FEUILLES (15G) COOK ARCADIE";"Epicerie sec";"N/A";"1.59000";"Relais Vert";"";"2.18000";"0.05500";"3417960042068";"";"1.85000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"15.00";"THYM FEUILLES"
"133";"FILETS DE MAQUEREAUX FORMAT LONG A L'HUILE D'OLIVE VIERGE EXTRA (151G) PHARE";"Epicerie sec";"N/A";"3.24000";"Relais Vert";"";"4.44000";"0.05500";"3263670008500";"";"3.76000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"151.00";"FILETS DE MAQUEREAUX"
"134";"FOIE DE MORUE AU NATUREL (121G) PHARE D'ECKMUHL";"Epicerie sec";"N/A";"2.47000";"Relais Vert";"";"3.39000";"0.05500";"3263670991116";"";"2.87000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"121.00";"FOIE DE MORUE AU NATUREL"
"135";"GALETTES DE RIZ (100G) LIMA";"Epicerie sec";"N/A";"0.97000";"Relais Vert";"";"1.33000";"0.05500";"5411788002493";"";"1.13000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"100.00";"GALETTES DE RIZ"
"138";"HARICOTS VERTS EXTRA FINS AU NATUREL (400G - PNE 220G) BIO POUR TOUS";"Epicerie sec";"N/A";"1.45000";"Relais Vert";"";"1.99000";"0.05500";"3760295171621";"";"1.68000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"400.00";"HARICOTS VERTS EXTRA FINS"
"140";"PETITS POIS AU NATUREL (400G - PNE 280G) BIO POUR TOUS";"Epicerie sec";"N/A";"1.50000";"Relais Vert";"";"2.06000";"0.05500";"3760295171645";"";"1.74000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"400.00";"PETITS POIS AU NATUREL"
"141";"HUILE DE COCO VIERGE (200ML) BIOPLANETE";"Epicerie sec";"N/A";"3.35000";"Relais Vert";"";"4.59000";"0.05500";"3445020105286";"";"3.87000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"200.00";"HUILE DE COCO VIERGE"
"144";"LENTILLES VERTES AU NATUREL (340G – PNE 240G) CHAMPLAT";"Epicerie sec";"N/A";"2.55000";"Relais Vert";"";"3.50000";"0.05500";"3493832060385";"";"2.96000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"340.00";"LENTILLES VERTES NATUREL"
"147";"MAIS DOUX EN GRAINS AU NATUREL (150G – PNE 140G) BIO POUR TOUS";"Epicerie sec";"N/A";"0.87000";"Relais Vert";"";"1.19000";"0.05500";"3760295171607";"";"1.01000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"150.00";"MAIS DOUX NATUREL"
"149";"MILLET DECORTIQUE (500G) MARKAL";"Epicerie sec";"N/A";"1.68000";"Relais Vert";"";"2.30000";"0.05500";"3329482411201";"";"1.95000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"500.00";"MILLET DECORTIQUE"
"150";"FUSILLIS RIZ MAIS (300G) CELIANE";"Epicerie sec";"N/A";"2.24000";"Relais Vert";"";"3.07000";"0.05500";"3700566453582";"";"2.60000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"300.00";"FUSILLIS RIZ MAIS"
"151";"MUESLI AUX FRUITS (1KG) BIO POUR TOUS";"Epicerie sec";"N/A";"4.91000";"Relais Vert";"";"6.73000";"0.05500";"3760295170990";"";"5.70000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"1000.00";"MUESLI AUX FRUITS"
"152";"NETTOYANT WC SENTEUR PIN ECOCERT (750ML) ECOVER";"Epicerie sec";"N/A";"2.76000";"Relais Vert";"";"4.31000";"0.20000";"5412533410662";"";"3.64000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"750.00";"NETTOYANT WC SENTEUR PIN"
"153";"OLIVES NOIRES KALAMATA ENTIERE (350G – PNE 200G) PHILIA";"Epicerie sec";"N/A";"2.55000";"Relais Vert";"";"3.50000";"0.05500";"3520832130838";"";"2.96000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"350.00";"OLIVES NOIRES KALAMATA"
"154";"OLIVES VERTES ENTIERE (350G - PNE 190G) PHILIA";"Epicerie sec";"N/A";"2.10000";"Relais Vert";"";"2.88000";"0.05500";"3520832130869";"";"2.44000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"350.00";"OLIVES VERTES"
"157";"PATE A TARTINER NOCCIOLATA SANS LAIT (325G) NOCCIOLATA";"Epicerie sec";"N/A";"3.75000";"Relais Vert";"";"5.14000";"0.05500";"8052575090308";"";"4.35000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"325.00";"NOCCIOLATA SANS LAIT"
"158";"POIS CASSES VERTS (500G) CELNAT";"Epicerie sec";"N/A";"2.48000";"Relais Vert";"";"3.40000";"0.05500";"3273120012698";"";"2.88000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"500.00";"POIS CASSES VERTS"
"159";"POUDRE A LEVER SANS GLUTEN (8X10G) CULINAT";"Epicerie sec";"N/A";"1.16000";"Relais Vert";"";"1.59000";"0.05500";"3278584930021";"";"1.35000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"80.00";"POUDRE A LEVER"
"160";"PROTEINES DE SOJA ENTIERE (200G) CELNAT";"Epicerie sec";"N/A";"2.37000";"Relais Vert";"";"3.25000";"0.05500";"3273120024028";"";"2.75000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"200.00";"PROTEINES DE SOJA"
"161";"SARDINES AU NATUREL (135G - PNE 95G) PHARE D'ECKMUHL";"Epicerie sec";"N/A";"2.95000";"Relais Vert";"";"4.05000";"0.05500";"3263670138016";"";"3.42000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"135.00";"SARDINES"
"162";"SAUCE TOMATE PROVENCALE (200G) CHAMPLAT";"Epicerie sec";"N/A";"1.96000";"Relais Vert";"";"2.69000";"0.05500";"3493831020205";"";"2.27000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"200.00";"SAUCE TOMATE"
"163";"SEL FIN (1KG) BIODYSSEE";"Epicerie sec";"N/A";"2.15000";"Relais Vert";"";"2.95000";"0.05500";"3760308961553";"";"2.50000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"1000.00";"SEL FIN"
"164";"SEL ROSE FIN DE L'HIMALAYA (1KG) PHILIA";"Epicerie sec";"N/A";"2.65000";"Relais Vert";"";"3.63000";"0.05500";"3520831330833";"";"3.07000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"1000.00";"SEL ROSE FIN DE L'HIMALAYA"
"165";"SERVIETTE ULTRA SUPER A RABATS (X12) NATRACARE BODYWISE";"Hygiene";"N/A";"2.75000";"Relais Vert";"";"4.29000";"0.20000";"782126003089";"";"3.63000";"";"";"";"0";"0";"1";"0";"";"";"Hygiene";"0.00";"SERVIETTE ULTRA A RABATS X12"
"166";"SOJA CUISINE (20CL) LIMA";"Epicerie sec";"N/A";"0.80000";"Relais Vert";"";"1.10000";"0.05500";"5411788046992";"";"0.93000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"200.00";"SOJA CUISINE"
